rang, NOM Prenom,Pays,Score
173, Moriya Hiroki,JPN,331
174, Nedovyesov Aleksandr,KAZ,329
175, Gaio Federico,ITA,329
176, Marterer Maximilian,GER,323
177, Sijsling Igor,NED,322
178, Coppejans Kimmer,BEL,322
179, Ivashka Ilya,BLR,321
180, Groth Sam,AUS,320
181, Basic Mirza,BIH,318
182, Berrer Michael,GER,318
183, Bourgue Mathias,FRA,314
184, Velotti Agustin,ARG,312
185, Djere Laslo,SRB,309
186, Arevalo Marcelo,ESA,306
187, Cecchinato Marco,ITA,304
188, Sousa Pedro,POR,304
189, Gojowczyk Peter,GER,301
190, Ignatik Uladzimir,BLR,295
191, Sandgren Tennys,USA,289
192, Myneni Saketh,IND,287
193, Kudryavtsev Alexander,RUS,286
194, Mcgee James,IRL,286
195, De Loore Joris,BEL,283
196, Barton Matthew,AUS,282
197, Mmoh Michael,USA,278
198, Tepavac Marko,SRB,278
199, Safwat Mohamed,EGY,278
200, Rubin Noah,USA,274
